Год,Место проведения,Дисциплина,Категория,Место,ФИО,Год рождения,Разряд,Регион
2019,Зеленоградск,длинная доска,мужчины,1,Исаков Евгений,1981,КМС,Калининградская область
2019,Зеленоградск,длинная доска,мужчины,2,Илясов Дмитрий,1989,КМС,Санкт-Петербург
2019,Зеленоградск,длинная доска,мужчины,3,Фомин Максим,1982,,Санкт-Петербург
2019,Зеленоградск,длинная доска,мужчины,4,Старков Андрей,1985,,Москва
2019,Зеленоградск,длинная доска,мужчины,5,Филинов Даниил,1985,,Приморский край
2019,Зеленоградск,длинная доска,мужчины,6,Трофимов Владимир,1985,I разряд,Санкт-Петербург
2019,Зеленоградск,длинная доска,мужчины,7,Расшиваев Сергей,1984,КМС,Санкт-Петербург
2019,Зеленоградск,длинная доска,мужчины,8,Молотков Ростислав,1992,,Еврейская автономная область
2019,Зеленоградск,длинная доска,мужчины,9,Новожилов Данила,1988,I разряд,Санкт-Петербург
2019,Зеленоградск,длинная доска,мужчины,10,Мустафин Андрей,1987,,Москва
2019,Зеленоградск,длинная доска,мужчины,11,Перерва Вадим,1989,,Калининградская область
2019,Зеленоградск,длинная доска,мужчины,12,Саркисов Станислав,1983,,Московская область
2019,Зеленоградск,длинная доска,мужчины,13,Титов Сергей,1987,II разряд,Санкт-Петербург
2019,Зеленоградск,длинная доска,мужчины,14,Гречишкин Алексей,1985,,Москва
2019,Зеленоградск,длинная доска,мужчины,15,Вахрушев Владимир,1984,,Санкт-Петербург
2019,Зеленоградск,длинная доска,мужчины,16,Пилецкий Илья,1983,,Калининградская область
2019,Зеленоградск,длинная доска,мужчины,17,Литвинов Леонид,1963,II разряд,Санкт-Петербург
