Год,Дисциплина,Категория,Место,ФИО,Год рождения,Разряд,Регион
2023,короткая доская,женщины,1,Чудненко Анна Сергеевна,1987,МС,Санкт-Петербург
2023,короткая доская,женщины,2,Шаповал Анна Игоревна,1997,2,Калининградская область
2023,короткая доская,женщины,3,Тиманина Анжелика Игоревна,1989,2,Москва
2023,короткая доская,женщины,4,Тимаревская Анастасия Алексеевна,1986,3,Санкт-Петербург
2023,короткая доская,женщины,5,Тихолаз Ульяна Андреевна,1993,2,Санкт-Петербург
2023,короткая доская,женщины,5,Матвеева Анна Александровна,1985,2,Калининградская область
2023,короткая доская,женщины,7,Галимова Чулпан Илгизировна,1987,КМС,Республика Татарстан
2023,короткая доская,женщины,7,Рудик Майи Гион,1984,КМС,Москва
